album_name, song_name, emotion, score
It's Only Rock 'N' Roll,It's Only Rock 'N' Roll (But I Like It),negative,0.666023672
It's Only Rock 'N' Roll,Till The Next Goodbye,negative,0.585881948
It's Only Rock 'N' Roll,Time Waits For No One,negative,0.784395695
It's Only Rock 'N' Roll,Luxury,negative,0.671068311
It's Only Rock 'N' Roll,Dance Little Sister,negative,0.644885242
It's Only Rock 'N' Roll,If You Really Want To Be My Friend,negative,0.619589031
It's Only Rock 'N' Roll,Short And Curlies,negative,0.621580422
It's Only Rock 'N' Roll,Fingerprint File,positive,0.633196592
Black And Blue,Hot Stuff,negative,0.638081789
Black And Blue,Hand Of Fate,negative,0.586864352
Black And Blue,Cherry Oh Baby,negative,0.699164867
Black And Blue,Memory Motel,positive,0.611828744
Black And Blue,"Hey, Negrita",negative,0.742569149
Black And Blue,Melody,positive,0.620196104
Black And Blue,Fool To Cry,negative,0.578483045
Black And Blue,Crazy Mama,negative,0.601261437
Some Girls,Miss You,positive,0.601780117
Some Girls,When The Whip Comes Down,positive,0.604352653
Some Girls,Just My Imagination (Running Away With Me),negative,0.621628523
Some Girls,Some Girls,negative,0.634464324
Some Girls,Lies,negative,0.732497156
Some Girls,Far Away Eyes,negative,0.568968475
Some Girls,Respectable,negative,0.625655472
Some Girls,Before They Make Me Run,negative,0.583904564
Some Girls,Beast Of Burden,positive,0.563448131
Some Girls,Shattered,positive,0.586062849
Emotional Rescue,Dance,negative,0.684659898
Emotional Rescue,Summer Romance,positive,0.600844264
Emotional Rescue,Send It To Me,negative,0.577037156
Emotional Rescue,Let Me Go,negative,0.641043127
Emotional Rescue,Indian Girl,negative,0.666273117
Emotional Rescue,Where The Boys Go,negative,0.620189965
Emotional Rescue,Down In The Hole,negative,0.73588258
Emotional Rescue,Emotional Rescue,positive,0.631138861
Emotional Rescue,She's So Cold,positive,0.58171016
Emotional Rescue,All About You,positive,0.680217206
Tattoo You,Start Me Up,negative,0.63722223
Tattoo You,Hang Fire,negative,0.600074351
Tattoo You,Slave,negative,0.619593501
Tattoo You,Little T & A,negative,0.665530324
Tattoo You,Black Limousine,negative,0.646882713
Tattoo You,Neighbours,negative,0.716198266
Tattoo You,Worried About You,negative,0.64877528
Tattoo You,Tops,negative,0.600710869
Tattoo You,Heaven,negative,0.743729293
Tattoo You,No Use In Crying,negative,0.640290082
Tattoo You,Waiting On A Friend,positive,0.629535854
Undercover,Undercover Of The Night,positive,0.633659244
Undercover,She Was Hot,positive,0.654030859
Undercover,Tie You Up (The Pain Of Love),negative,0.491447777
Undercover,Wanna Hold You,negative,0.683016956
Undercover,Feel On Baby,negative,0.695782661
Undercover,Too Much Blood,positive,0.598545432
Undercover,Pretty Beat Up,negative,0.708840907
Undercover,Too Tough,negative,0.66515094
Undercover,All The Way Down,positive,0.596937478
Undercover,It Must Be Hell,negative,0.733634591
Dirty Work,One Hit (To The Body),negative,0.799259305
Dirty Work,Fight,negative,0.710697472
Dirty Work,Harlem Shuffle,negative,0.84016484
Dirty Work,Hold Back,negative,0.813251793
Dirty Work,Too Rude,negative,0.778512657
Dirty Work,Winning Ugly,negative,0.627706647
Dirty Work,Back To Zero,negative,0.692624986
Dirty Work,Dirty Work,negative,0.69036442
Dirty Work,Had It With You,negative,0.82831192
Dirty Work,Sleep Tonight,negative,0.763855517
Steel Wheels,Sad Sad Sad,negative,0.61392504
Steel Wheels,Mixed Emotions,negative,0.64882195
Steel Wheels,Terrifying,negative,0.680052817
Steel Wheels,Hold On To Your Hat,negative,0.641482294
Steel Wheels,Hearts For Sale,positive,0.689377666
Steel Wheels,Blinded By Love,negative,0.595643461
Steel Wheels,Rock And A Hard Place,negative,0.549956381
Steel Wheels,Can't Be Seen,positive,0.540936887
Steel Wheels,Almost Hear You Sigh,negative,0.543977618
Steel Wheels,Continental Drift,negative,0.664933622
Steel Wheels,Break The Spell,negative,0.581023395
Steel Wheels,Slipping Away,negative,0.640518129
Voodoo Lounge,Love Is Strong,negative,0.694905102
Voodoo Lounge,You Got Me Rocking,positive,0.608835518
Voodoo Lounge,Sparks Will Fly,negative,0.641786516
Voodoo Lounge,The Worst,positive,0.652913153
Voodoo Lounge,New Faces,negative,0.662304699
Voodoo Lounge,Moon Is Up,positive,0.669359505
Voodoo Lounge,Out Of Tears,negative,0.694932997
Voodoo Lounge,I Go Wild,negative,0.702650011
Voodoo Lounge,Brand New Car,positive,0.619942188
Voodoo Lounge,Sweethearts Together,negative,0.731933832
Voodoo Lounge,Suck On The Jugular,negative,0.698538363
Voodoo Lounge,Blinded By Rainbows,positive,0.57494539
Voodoo Lounge,Baby Break It Down,positive,0.575064361
Voodoo Lounge,Thru And Thru,negative,0.683706701
Voodoo Lounge,Mean Disposition,negative,0.504790246
Stripped,Street Fighting Man,negative,0.711477935
Stripped,Like A Rolling Stone,positive,0.622542143
Stripped,Not Fade Away,negative,0.718538046
Stripped,Shine A Light,negative,0.583507895
Stripped,The Spider And The Fly,negative,0.577535808
Stripped,I'm Free,negative,0.603911102
Stripped,Wild Horses,positive,0.538470566
Stripped,Let It Bleed,negative,0.659144223
Stripped,Dead Flowers,negative,0.645975769
Stripped,Slipping Away,negative,0.640518129
Stripped,Angie,negative,0.713536441
Stripped,Love In Vain,negative,0.677922487
Stripped,Sweet Virginia,negative,0.728303373
Stripped,Little Baby,negative,0.596138775
Bridges To Babylon,Flip The Switch,negative,0.582358003
Bridges To Babylon,Anybody Seen My Baby?,negative,0.631611347
Bridges To Babylon,Low Down,negative,0.620650828
Bridges To Babylon,Already Over Me,positive,0.702572048
Bridges To Babylon,Gunface,positive,0.657372773
Bridges To Babylon,You Don't Have To Mean It,negative,0.651312232
Bridges To Babylon,Out Of Control,negative,0.675129354
Bridges To Babylon,Saint Of Me,negative,0.615222991
Bridges To Babylon,Might As Well Get Juiced,negative,0.640705109
Bridges To Babylon,Always Suffering,negative,0.782563388
Bridges To Babylon,Too Tight,negative,0.639953911
Bridges To Babylon,Thief In The Night,negative,0.560044229
Bridges To Babylon,How Can I Stop?,negative,0.571730971
A Bigger Bang,Rough Justice,negative,0.672194064
A Bigger Bang,Let Me Down Slow,negative,0.717063248
A Bigger Bang,It Won't Take Long,negative,0.704997361
A Bigger Bang,Rain Fall Down,negative,0.808374703
A Bigger Bang,Streets Of Love,negative,0.641125619
A Bigger Bang,Back Of My Hand,negative,0.771155
A Bigger Bang,She Saw Me Coming,negative,0.689231694
A Bigger Bang,Biggest Mistake,negative,0.685495317
A Bigger Bang,This Place Is Empty,negative,0.69234544
A Bigger Bang,"Oh No, Not You Again",negative,0.745682299
A Bigger Bang,Dangerous Beauty,negative,0.65866679
A Bigger Bang,"Laugh, I Nearly Died",negative,0.739679515
A Bigger Bang,Sweet Neo Con,negative,0.789863765
A Bigger Bang,Look What The Cat Dragged In,negative,0.67938292
A Bigger Bang,Driving Too Fast,negative,0.72618413
A Bigger Bang,Infamy,negative,0.719306886
The Rolling Stones,Route 66,positive,0.329640359
The Rolling Stones,I Just Want To Make Love To You,positive,0.400634795
The Rolling Stones,Honest I Do,negative,0.489290744
The Rolling Stones,I Need You Baby (Mona),positive,0.49799484
The Rolling Stones,Little By Little,positive,0.415879399
The Rolling Stones,I'm A King Bee,positive,0.438584507
The Rolling Stones,Carol,positive,0.352506936
The Rolling Stones,Tell Me,positive,0.16592142
The Rolling Stones,Can I Get A Witness,trust,0.309304535
The Rolling Stones,You Can Make It If You Try,positive,0.677253485
The Rolling Stones,Walking The Dog,positive,0.420919418
12x5,Around And Around,positive,0.400739253
12x5,Confessin' The Blues,positive,0.539584458
12x5,Empty Heart,positive,0.240954608
12x5,Time Is On My Side,positive,0.54129225
12x5,"Good Times, Bad Times",negative,0.258663416
12x5,It's All Over Now,positive,0.223777637
